cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
GND2MCOD2,12,94.73436819,40,20,7.423994862,10,10,7.310373332
OA22D2,12,94.89712407,38.46153846,20,9.125182235,10,10,7.310403371
AO22D2,12,95.17968276,38.46153846,20,9.407745573,10,10,7.310398726
OA22V4,12,95.17969068,38.46153846,20,9.407745573,10,10,7.310406645
GOAI21D2,12,95.23751124,40,20,7.927109506,10,10,7.310401732
GND3MCOD2,12,95.35603182,40,20,8.0456601,10,10,7.310371716
IOA21D2,12,95.51015994,40,20,8.19979425,10,10,7.310365685
OA1B2V4,12,95.51016103,40,20,8.19979425,10,10,7.310366775
GND3D2,12,95.60507348,40,20,8.294718173,10,10,7.310355307
ND3D2,12,95.60507457,40,20,8.294718173,10,10,7.310356399
NAND3V4,12,95.60508604,40,20,8.294718173,10,10,7.310367869
AOI12V4,12,95.6051281,40,20,8.294718173,10,10,7.310409924
OAI21D2,12,95.75137457,40,20,8.440976089,10,10,7.310398479
AOI21D2,12,95.99271941,40,20,8.682384308,10,10,7.310335098
IAO21D2,12,96.07782885,40,20,8.767483379,10,10,7.310345476
OAI12V4,12,96.07783869,40,20,8.767483379,10,10,7.310355308
GNR3D2,12,96.07785234,40,20,8.767483379,10,10,7.310368963
GNR3MCOD2,12,96.07785725,40,20,8.767483379,10,10,7.310373876
GAOI21D2,12,96.07788893,40,20,8.767483379,10,10,7.310405555
GAOI21MCOD2,12,96.07789603,40,20,8.767483379,10,10,7.310412656
OR4V4,12,96.94953924,40,20,9.639156082,10,10,7.310383162
OA13V4,12,96.94955563,40,20,9.639156082,10,10,7.310399547
AND4V4,12,96.94955729,40,20,9.639156082,10,10,7.310401208
AN4D2,12,96.94956325,40,20,9.639156082,10,10,7.310407169
AO13V4,12,96.94956434,40,20,9.639156082,10,10,7.310408261
AO112V4,12,96.94956494,40,20,9.639156082,10,10,7.310408853
OR4D2,12,96.94956601,40,20,9.639156082,10,10,7.310409923
AO211D2,12,96.94956763,40,20,9.639156082,10,10,7.310411547
OA211D2,12,96.94957313,40,20,9.639156082,10,10,7.310417051
MUX2V4,14,93.2057905,37.03703704,20,8.858441851,10,10,7.310311616
DEL2V4,14,93.64363293,40,18.83333333,7.5,10,10,7.310299596
CLKMUX2V4,14,93.76190502,37.73584906,20,8.715747083,10,10,7.310308881
IND3D2,14,94.54455757,38.51851852,20,8.715747083,10,10,7.310291972
AO32V4,14,94.5788203,38.51851852,20,8.75,10,10,7.310301783
