cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
XOR2OPTND2,18,92.46061652,38.62068966,16.83333333,9.75,10,10,7.256593527
LVLLHD2,18,77.57241496,33.33333333,15.16666667,9.833333333,2,10,7.239081622
ADH1V4,18,94.52929624,38.62068966,20,8.653708798,10,10,7.254897789
LAHQV4,18,95.23846922,38.66666667,20,9.318181818,10,10,7.253620734
LALQV4,18,95.2385168,38.66666667,20,9.318181818,10,10,7.253668319
MUX2NV4,18,94.96167619,38.62068966,19.5,9.585421901,10,10,7.255564629
LALRNQV4,19,92.45221391,37.33333333,19.33333333,9.534152505,9,10,7.251394737
AOI221D2,20,95.13919078,38.66666667,20,9.223715851,10,10,7.248808261
AOI32D2,20,96.19132455,40,20,8.942618538,10,10,7.248706008
CKXOR2D2,20,76.5259152,29.62962963,13.83333333,9.821428571,6,10,7.241523663
LHQOPTDAD2,20,90.80343046,37.41935484,18.33333333,9.807692308,8,10,7.243049979
MAOI222D2,20,93.98147548,40,17.66666667,9.064585653,10,10,7.250223161
OAI221D2,20,95.1425451,38.66666667,20,9.227421286,10,10,7.248457147
OAI32D2,20,96.10680721,40,20,8.8573909,10,10,7.249416312
GMUX2MCOD2,20,96.99901694,40,20,9.75,10,10,7.24901694
GMUX2NMCOD2,20,96.28837675,40,20,9.039856782,10,10,7.248519966
GXNR2MCOD2,20,94.81511158,38.66666667,19.83333333,9.065997878,10,10,7.249113706
GXOR2MCOD2,20,94.81184181,38.66666667,19.83333333,9.06293054,10,10,7.248911269
AOI212V4,20,96.19220123,40,20,8.942618538,10,10,7.249582694
AOI32V4,20,96.19210535,40,20,8.942618538,10,10,7.249486815
OAI212V4,20,96.19249089,40,20,8.942618538,10,10,7.249872354
OAI32V4,20,96.19319666,40,20,8.942618538,10,10,7.250578123
LAHRNQV4,21,93.15612883,38.0952381,20,8.814535769,9,10,7.246354965
LAHSQV4,21,93.86247607,38.0952381,20,9.520300335,9,10,7.246937636
MUX3D2,22,93.10475886,36.25,20,9.613141028,10,10,7.241617834
LVLSRLHCD2,22,78.65910526,35.69230769,16,9.744844818,0,10,7.221952748
DEL4V4,22,95.99314695,38.75,20,10,10,10,7.243146951
MUX3V4,22,93.1053025,36.25,20,9.613141028,10,10,7.242161475
AOI211OPTREPBD2,23,91.88622212,38.0952381,20,9.551465239,7,10,7.23951879
OAI211OPTREPBD2,23,91.91708442,38.0952381,20,9.578674956,7,10,7.243171365
LVLLHCD2,23,71.69033897,35.15151515,11.83333333,8.478811701,-1,10,7.226678781
LALSNQV4,23,94.11043526,38.78787879,20,9.079707234,9,10,7.24284924
AOI222D2,24,95.31374485,38.75,20,9.322591868,10,10,7.241152985
AOI33D2,24,96.25063151,40,20,9.011116207,10,10,7.239515307
CKLNQD2,24,92.89584469,38.20895522,19,8.447671999,10,10,7.239217464
LHD2,24,89.35267257,36.25,18.83333333,9.033908217,8,10,7.235431017
LHSNDQD2,24,89.59343942,35,20,9.357873541,8,10,7.235565883
LND2,24,88.73119899,36.25,18.5,8.744456736,8,10,7.236742252
LNSNDQD2,24,87.83011989,35,19,8.594714837,8,10,7.235405056
MUX3ND2,24,93.19813111,36.36363636,20,9.595741735,10,10,7.238753009
NR4D2,24,78.64856951,35,15,9.420398844,2,10,7.228170662
OAI222D2,24,95.25694312,38.75,20,9.266941535,10,10,7.240001582
OAI22OPTPBD2,24,88.46910745,37.5,18,9.732738758,6,10,7.236368696
OAI33D2,24,96.2525299,40,20,9.011116207,10,10,7.241413691
AOI222V4,24,95.31533601,38.75,20,9.322591868,10,10,7.242744139
AOI33V4,24,95.31455965,38.75,20,9.322591868,10,10,7.241967783
CLKLAHQV4,24,93.97903851,38.15384615,20,8.585448257,10,10,7.239744101
CLKLANAQV4,24,94.45628792,38.15384615,20,9.06261811,10,10,7.239823659
CLKLANQV4,24,94.61346063,38.78787879,20,8.585448257,10,10,7.240133582
OAI222V4,24,95.31521134,38.75,20,9.322591868,10,10,7.242619477
OAI33V4,24,96.253471,40,20,9.011116207,10,10,7.242354791
LAHRSNQV4,25,88.77627869,35.82089552,19.33333333,9.394374698,7,10,7.227675138
LALRSNQV4,25,89.19084375,35.82089552,20,9.142507074,7,10,7.22744115
CKLHQD2,26,93.44714688,37.71428571,20,8.494890479,10,10,7.237970686
INR4D2,26,79.69474452,33.93939394,16.83333333,9.69570969,2,10,7.22630756
LHCNDQD2,26,85.949353,33.93939394,17,9.773195394,8,10,7.236763666
LNCNDQD2,26,86.65518329,35.15151515,17,9.26839159,8,10,7.235276545
CLKLAHAQV4,26,94.29247516,38.82352941,20,8.230269952,10,10,7.238675799
DQNV4,26,84.29583116,34.11764706,13.33333333,9.605263158,10,10,7.23958761
DQV4,26,84.72505601,34.11764706,13.5,9.868421053,10,10,7.238987902
MUX3NV4,26,92.28313488,35.29411765,20,9.750686814,10,10,7.238330417
NDQV4,26,84.72516027,34.11764706,13.5,9.868421053,10,10,7.239092156
XNOR3V4,26,93.38465378,38.78787879,18.5,8.856584958,10,10,7.240190034
XOR3V4,26,90.84958399,37.57575758,17.33333333,8.700961894,10,10,7.239531184
DFQD2,28,78.42290128,34.11764706,10,9.078947368,8,10,7.226306854
LHCSNDQD2,28,88.71188686,34.62686567,19.83333333,9.027777778,8,10,7.223910077
LHSNDD2,28,90.18618001,36.47058824,19.33333333,9.156634778,8,10,7.225623663
LNCSNDQD2,28,87.31945507,34.62686567,18,9.468096051,8,10,7.224493351
LNSNDD2,28,88.20176963,36.47058824,17.5,9.005203851,8,10,7.22597754
LVLLHCLOD2,28,72.24933553,32.22222222,15.33333333,9.4901722,-2,10,7.203607776
DGRNQNV4,28,88.93787268,35.42857143,18,8.280640218,10,10,7.228661034
DFKCNQD2,30,82.96799161,33.14285714,15.66666667,8.930226145,8,10,7.228241655
LHCNDD2,30,88.93142735,35.42857143,19,9.276648136,8,10,7.226207789
LNCNDD2,30,89.01329044,35.42857143,19.16666667,9.191458342,8,10,7.226594003
XNR3D2,30,73.49450066,29.53846154,14,8.735128774,4,10,7.220910344
DRNQNV4,30,86.64213453,35.55555556,14.16666667,9.688195218,10,10,7.231717093
DRNQV4,30,84.45713971,35.55555556,13.5,8.170458467,10,10,7.231125689
DRQNV4,30,85.94488744,35.06849315,15.5,8.145504532,10,10,7.230889753
DRQV4,30,86.27811049,35.06849315,15.83333333,8.145504532,10,10,7.230779477
DSNQNV4,30,88.41612172,36.16438356,15.33333333,9.688195218,10,10,7.230209607
DSNQV4,30,87.26634798,36.16438356,15.33333333,8.538248055,10,10,7.230383029
NDRNQV4,30,85.58144123,35.55555556,13.83333333,8.961672017,10,10,7.230880328
DFKCND2,32,91.82137911,35.67567568,20,8.926369106,10,10,7.219334323
DFSNQD2,32,82.96760713,33.97260274,15.33333333,8.443739501,8,10,7.217931556
LHCSNDD2,32,87.46758078,34.92957746,17.66666667,9.653737153,8,10,7.217599492
LNCSNDD2,32,89.75032248,34.92957746,20,9.605522821,8,10,7.215222192
AD1V4,32,95.96546343,40,20,8.743765547,10,10,7.221697888
DGRSNQNV4,32,92.93029877,36.84210526,20,8.869110277,10,10,7.21908323
HA1D2,33,74.36783292,30,13,9.161474508,5,10,7.206358407
XNR4D2,33,90.00116927,34.13333333,20,9.656274167,9,10,7.211561769
DFKSND2,34,92.43113538,36.36363636,20,8.843610794,10,10,7.223888221
MUX4ND2,34,83.30507605,31.78082192,16.5,9.80358145,8,10,7.220672683
